dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1900-01-01,25.732,1.08,Acre,Brazil
1900-02-01,26.05,1.08,Acre,Brazil
1900-03-01,26.574,0.894,Acre,Brazil
1900-04-01,25.947,1.192,Acre,Brazil
1900-05-01,25.557,0.856,Acre,Brazil
1900-06-01,24.907,1.14,Acre,Brazil
1900-07-01,24.663,0.726,Acre,Brazil
1900-08-01,25.641,0.824,Acre,Brazil
1900-09-01,26.379,0.806,Acre,Brazil
1900-10-01,26.887,0.809,Acre,Brazil
1900-11-01,26.477,0.916,Acre,Brazil
1900-12-01,26.433,1.236,Acre,Brazil
1901-01-01,25.893,0.768,Acre,Brazil
1901-02-01,26.056,1.098,Acre,Brazil
1901-03-01,25.966,0.812,Acre,Brazil
1901-04-01,25.729,1.07,Acre,Brazil
1901-05-01,25.46,1.582,Acre,Brazil
1901-06-01,24.88,0.889,Acre,Brazil
1901-07-01,25.037,0.654,Acre,Brazil
1901-08-01,26.3,1.096,Acre,Brazil
1901-09-01,26.623,0.816,Acre,Brazil
1901-10-01,26.38,0.795,Acre,Brazil
1901-11-01,25.737,0.606,Acre,Brazil
1901-12-01,25.299,0.679,Acre,Brazil
1902-01-01,25.36,0.788,Acre,Brazil
1902-02-01,24.837,0.69,Acre,Brazil
1902-03-01,25.051,0.946,Acre,Brazil
1902-04-01,25.141,1.117,Acre,Brazil
1902-05-01,25.627,1.153,Acre,Brazil
1902-06-01,25.014,1.053,Acre,Brazil
1902-07-01,25.516,0.835,Acre,Brazil
1902-08-01,26.121,0.915,Acre,Brazil
1902-09-01,26.621,1.084,Acre,Brazil
1902-10-01,26.337,0.834,Acre,Brazil
1902-11-01,26.433,1.032,Acre,Brazil
1902-12-01,25.786,1.145,Acre,Brazil
1903-01-01,26.236,0.938,Acre,Brazil
1903-02-01,26.762,1.245,Acre,Brazil
1903-03-01,25.877,0.692,Acre,Brazil
1903-04-01,25.165,0.809,Acre,Brazil
1903-05-01,24.686,0.934,Acre,Brazil
1903-06-01,24.298,0.708,Acre,Brazil
1903-07-01,24.57,1.101,Acre,Brazil
1903-08-01,25.082,0.68,Acre,Brazil
1903-09-01,25.782,1.65,Acre,Brazil
1903-10-01,25.975,0.74,Acre,Brazil
1903-11-01,25.398,0.549,Acre,Brazil
1903-12-01,24.777,0.789,Acre,Brazil
1904-01-01,25.116,1.447,Acre,Brazil
1904-02-01,25.042,1.204,Acre,Brazil
