Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1900-01-01,29.965,0.699,Northern Territory,Australia
1900-02-01,31.141,0.58,Northern Territory,Australia
1900-03-01,28.378,0.581,Northern Territory,Australia
1900-04-01,25.563,0.427,Northern Territory,Australia
1900-05-01,21.226,0.636,Northern Territory,Australia
1900-06-01,19.093,0.493,Northern Territory,Australia
1900-07-01,16.647,0.64,Northern Territory,Australia
1900-08-01,21.175,0.468,Northern Territory,Australia
1900-09-01,23.529,0.729,Northern Territory,Australia
1900-10-01,27.599,0.538,Northern Territory,Australia
1900-11-01,30.466,0.558,Northern Territory,Australia
1900-12-01,31.052,0.582,Northern Territory,Australia
1901-01-01,30.643,0.618,Northern Territory,Australia
1901-02-01,29.161,0.783,Northern Territory,Australia
1901-03-01,27.008,0.519,Northern Territory,Australia
1901-04-01,23.664,0.825,Northern Territory,Australia
1901-05-01,20.821,0.588,Northern Territory,Australia
1901-06-01,17.551,0.447,Northern Territory,Australia
1901-07-01,16.123,0.445,Northern Territory,Australia
1901-08-01,18.686,0.496,Northern Territory,Australia
1901-09-01,24.128,0.528,Northern Territory,Australia
1901-10-01,26.123,0.619,Northern Territory,Australia
1901-11-01,30.114,0.671,Northern Territory,Australia
1901-12-01,31.427,0.674,Northern Territory,Australia
1902-01-01,30.699,0.979,Northern Territory,Australia
1902-02-01,30.173,0.631,Northern Territory,Australia
1902-03-01,27.879,0.469,Northern Territory,Australia
1902-04-01,24.591,0.639,Northern Territory,Australia
1902-05-01,20.885,0.622,Northern Territory,Australia
1902-06-01,18.09,0.693,Northern Territory,Australia
1902-07-01,17.586,0.547,Northern Territory,Australia
1902-08-01,19.266,0.701,Northern Territory,Australia
1902-09-01,23.456,0.434,Northern Territory,Australia
1902-10-01,26.957,0.514,Northern Territory,Australia
1902-11-01,28.588,0.64,Northern Territory,Australia
1902-12-01,29.381,0.631,Northern Territory,Australia
1903-01-01,29.294,0.809,Northern Territory,Australia
1903-02-01,29.489,1.129,Northern Territory,Australia
1903-03-01,28.013,0.578,Northern Territory,Australia
1903-04-01,25.052,0.58,Northern Territory,Australia
1903-05-01,20.279,0.506,Northern Territory,Australia
1903-06-01,17.076,0.534,Northern Territory,Australia
1903-07-01,16.638,0.57,Northern Territory,Australia
1903-08-01,19.951,0.541,Northern Territory,Australia
1903-09-01,23.337,0.613,Northern Territory,Australia
1903-10-01,26.468,0.498,Northern Territory,Australia
1903-11-01,28.589,0.481,Northern Territory,Australia
1903-12-01,27.775,0.765,Northern Territory,Australia
1904-01-01,27.39,0.681,Northern Territory,Australia
1904-02-01,27.597,0.68,Northern Territory,Australia
1904-03-01,26.031,0.534,Northern Territory,Australia
1904-04-01,23.206,0.455,Northern Territory,Australia
1904-05-01,20.539,0.672,Northern Territory,Australia
1904-06-01,16.797,0.571,Northern Territory,Australia
1904-07-01,17.395,0.693,Northern Territory,Australia
1904-08-01,18.908,0.669,Northern Territory,Australia
1904-09-01,23.155,0.591,Northern Territory,Australia
1904-10-01,25.72,0.476,Northern Territory,Australia
1904-11-01,28.721,0.5,Northern Territory,Australia
1904-12-01,30.068,0.424,Northern Territory,Australia
1905-01-01,30.114,0.828,Northern Territory,Australia
1905-02-01,28.884,0.551,Northern Territory,Australia
1905-03-01,28.316,0.37,Northern Territory,Australia
1905-04-01,25.047,0.454,Northern Territory,Australia
1905-05-01,21.674,0.662,Northern Territory,Australia
1905-06-01,18.017,0.767,Northern Territory,Australia
1905-07-01,17.363,0.699,Northern Territory,Australia
1905-08-01,18.998,0.737,Northern Territory,Australia
1905-09-01,22.232,0.79,Northern Territory,Australia
1905-10-01,25.082,0.53,Northern Territory,Australia
1905-11-01,28.947,0.893,Northern Territory,Australia
1905-12-01,30.899,0.7,Northern Territory,Australia
1906-01-01,31.296,0.662,Northern Territory,Australia
1906-02-01,30.915,0.794,Northern Territory,Australia
1906-03-01,26.708,0.632,Northern Territory,Australia
1906-04-01,26.246,0.532,Northern Territory,Australia
1906-05-01,22.165,0.7,Northern Territory,Australia
1906-06-01,20.233,0.706,Northern Territory,Australia
1906-07-01,19.329,0.645,Northern Territory,Australia
1906-08-01,20.255,0.705,Northern Territory,Australia
1906-09-01,23.647,0.635,Northern Territory,Australia
1906-10-01,27.027,0.43,Northern Territory,Australia
1906-11-01,28.283,0.565,Northern Territory,Australia
1906-12-01,28.002,0.609,Northern Territory,Australia
1907-01-01,29.262,0.728,Northern Territory,Australia
1907-02-01,28.424,0.614,Northern Territory,Australia
1907-03-01,27.083,0.664,Northern Territory,Australia
1907-04-01,23.983,0.461,Northern Territory,Australia
1907-05-01,21.046,0.534,Northern Territory,Australia
1907-06-01,18.162,0.468,Northern Territory,Australia
1907-07-01,18.018,0.431,Northern Territory,Australia
1907-08-01,19.857,0.53,Northern Territory,Australia
1907-09-01,22.803,0.522,Northern Territory,Australia
1907-10-01,27.765,0.399,Northern Territory,Australia
1907-11-01,28.074,0.421,Northern Territory,Australia
1907-12-01,28.896,0.494,Northern Territory,Australia
1908-01-01,29.806,0.688,Northern Territory,Australia
1908-02-01,28.619,0.776,Northern Territory,Australia
1908-03-01,26.567,0.44,Northern Territory,Australia
1908-04-01,24.679,0.472,Northern Territory,Australia
1908-05-01,20.601,0.565,Northern Territory,Australia
1908-06-01,16.092,0.499,Northern Territory,Australia
1908-07-01,16.673,0.448,Northern Territory,Australia
1908-08-01,18.886,0.638,Northern Territory,Australia
1908-09-01,21.336,0.65,Northern Territory,Australia
1908-10-01,24.772,0.628,Northern Territory,Australia
1908-11-01,28.719,0.384,Northern Territory,Australia
1908-12-01,29.193,0.753,Northern Territory,Australia
1909-01-01,29.711,0.476,Northern Territory,Australia
1909-02-01,28.988,0.44,Northern Territory,Australia
1909-03-01,28.013,0.41,Northern Territory,Australia
1909-04-01,24.229,0.422,Northern Territory,Australia
