Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1900-01-01,-12.71,0.873,Moscow City,Russia
1900-02-01,-10.109,0.891,Moscow City,Russia
1900-03-01,-4.419,0.715,Moscow City,Russia
1900-04-01,2.3,0.386,Moscow City,Russia
1900-05-01,9.853,0.398,Moscow City,Russia
1900-06-01,13.814,0.582,Moscow City,Russia
1900-07-01,17.354,0.711,Moscow City,Russia
1900-08-01,17.781,0.713,Moscow City,Russia
1900-09-01,9.338,0.593,Moscow City,Russia
1900-10-01,5.815,0.664,Moscow City,Russia
1900-11-01,-3.504,0.54,Moscow City,Russia
1900-12-01,-6.302,0.684,Moscow City,Russia
1901-01-01,-7.432,0.652,Moscow City,Russia
1901-02-01,-8.694,0.919,Moscow City,Russia
1901-03-01,-4.086,0.498,Moscow City,Russia
1901-04-01,4.814,0.955,Moscow City,Russia
1901-05-01,11.164,0.578,Moscow City,Russia
1901-06-01,19.941,0.704,Moscow City,Russia
1901-07-01,17.868,0.447,Moscow City,Russia
1901-08-01,18.482,0.548,Moscow City,Russia
1901-09-01,9.876,0.674,Moscow City,Russia
1901-10-01,4.903,0.398,Moscow City,Russia
1901-11-01,-3.349,0.931,Moscow City,Russia
1901-12-01,-8.613,0.541,Moscow City,Russia
1902-01-01,-7.578,1.136,Moscow City,Russia
1902-02-01,-7.924,0.759,Moscow City,Russia
1902-03-01,-3.686,0.691,Moscow City,Russia
1902-04-01,0.79,0.563,Moscow City,Russia
1902-05-01,10.875,0.663,Moscow City,Russia
1902-06-01,15.896,0.641,Moscow City,Russia
1902-07-01,16.513,0.614,Moscow City,Russia
1902-08-01,14.756,0.662,Moscow City,Russia
1902-09-01,8.646,0.6,Moscow City,Russia
1902-10-01,1.724,0.696,Moscow City,Russia
1902-11-01,-5.936,0.715,Moscow City,Russia
1902-12-01,-12.024,0.891,Moscow City,Russia
1903-01-01,-7.976,0.682,Moscow City,Russia
1903-02-01,-4.345,0.733,Moscow City,Russia
1903-03-01,-1.747,0.894,Moscow City,Russia
1903-04-01,7.913,0.447,Moscow City,Russia
1903-05-01,12.08,0.414,Moscow City,Russia
1903-06-01,18.206,0.725,Moscow City,Russia
1903-07-01,18.569,0.588,Moscow City,Russia
1903-08-01,15.908,0.486,Moscow City,Russia
1903-09-01,11.269,0.539,Moscow City,Russia
1903-10-01,1.205,0.459,Moscow City,Russia
1903-11-01,-0.58,0.583,Moscow City,Russia
1903-12-01,-7.636,0.59,Moscow City,Russia
1904-01-01,-7.913,0.705,Moscow City,Russia
1904-02-01,-5.477,0.815,Moscow City,Russia
1904-03-01,-5.867,0.48,Moscow City,Russia
1904-04-01,3.555,0.413,Moscow City,Russia
1904-05-01,9.193,0.571,Moscow City,Russia
1904-06-01,12.424,0.775,Moscow City,Russia
1904-07-01,14.887,0.566,Moscow City,Russia
1904-08-01,14.871,0.676,Moscow City,Russia
1904-09-01,8.745,0.819,Moscow City,Russia
1904-10-01,5.118,0.455,Moscow City,Russia
1904-11-01,-2.383,0.426,Moscow City,Russia
1904-12-01,-7.413,0.611,Moscow City,Russia
1905-01-01,-12.036,0.867,Moscow City,Russia
1905-02-01,-6.582,0.692,Moscow City,Russia
1905-03-01,-4.284,0.672,Moscow City,Russia
1905-04-01,3.511,0.444,Moscow City,Russia
1905-05-01,14.135,0.55,Moscow City,Russia
1905-06-01,17.606,0.465,Moscow City,Russia
1905-07-01,16.777,0.491,Moscow City,Russia
1905-08-01,15.833,0.465,Moscow City,Russia
1905-09-01,10.421,0.506,Moscow City,Russia
1905-10-01,5.127,0.509,Moscow City,Russia
1905-11-01,-0.386,0.418,Moscow City,Russia
1905-12-01,-5.649,0.597,Moscow City,Russia
1906-01-01,-7.221,0.8,Moscow City,Russia
1906-02-01,-8.004,0.512,Moscow City,Russia
1906-03-01,-2.254,0.585,Moscow City,Russia
1906-04-01,7.009,0.467,Moscow City,Russia
1906-05-01,16.94,1.084,Moscow City,Russia
1906-06-01,16.784,0.507,Moscow City,Russia
1906-07-01,19.029,0.799,Moscow City,Russia
1906-08-01,15.002,0.51,Moscow City,Russia
1906-09-01,8.136,0.541,Moscow City,Russia
1906-10-01,3.607,0.561,Moscow City,Russia
1906-11-01,-1.225,0.5,Moscow City,Russia
1906-12-01,-7.114,0.618,Moscow City,Russia
1907-01-01,-14.745,0.78,Moscow City,Russia
1907-02-01,-9.934,0.423,Moscow City,Russia
1907-03-01,-3.726,0.428,Moscow City,Russia
1907-04-01,3.247,0.598,Moscow City,Russia
1907-05-01,10.165,0.522,Moscow City,Russia
1907-06-01,15.542,0.696,Moscow City,Russia
1907-07-01,17.828,0.508,Moscow City,Russia
1907-08-01,14.497,0.518,Moscow City,Russia
1907-09-01,9.933,0.415,Moscow City,Russia
1907-10-01,5.737,0.95,Moscow City,Russia
1907-11-01,-6.149,0.488,Moscow City,Russia
1907-12-01,-13.664,0.804,Moscow City,Russia
1908-01-01,-10.995,0.65,Moscow City,Russia
1908-02-01,-7.832,0.654,Moscow City,Russia
1908-03-01,-6.765,0.552,Moscow City,Russia
1908-04-01,3.15,0.795,Moscow City,Russia
1908-05-01,9.277,0.587,Moscow City,Russia
1908-06-01,14.902,0.484,Moscow City,Russia
1908-07-01,17.22,0.622,Moscow City,Russia
1908-08-01,15.181,0.463,Moscow City,Russia
1908-09-01,10.497,0.511,Moscow City,Russia
1908-10-01,2.304,0.534,Moscow City,Russia
1908-11-01,-6.653,0.937,Moscow City,Russia
1908-12-01,-9.537,0.809,Moscow City,Russia
1909-01-01,-10.231,1.018,Moscow City,Russia
1909-02-01,-11.597,1.521,Moscow City,Russia
1909-03-01,-5.279,0.95,Moscow City,Russia
1909-04-01,1.84,0.475,Moscow City,Russia
1909-05-01,8.562,0.555,Moscow City,Russia
1909-06-01,15.086,0.598,Moscow City,Russia
