Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1900-01-01,-13.11,0.668,Moskva,Russia
1900-02-01,-10.575,0.776,Moskva,Russia
1900-03-01,-4.537,0.649,Moskva,Russia
1900-04-01,2.285,0.382,Moskva,Russia
1900-05-01,9.983,0.388,Moskva,Russia
1900-06-01,13.875,0.559,Moskva,Russia
1900-07-01,17.437,0.698,Moskva,Russia
1900-08-01,17.866,0.716,Moskva,Russia
1900-09-01,9.294,0.636,Moskva,Russia
1900-10-01,5.766,0.672,Moskva,Russia
1900-11-01,-3.68,0.558,Moskva,Russia
1900-12-01,-6.55,0.648,Moskva,Russia
1901-01-01,-7.518,0.709,Moskva,Russia
1901-02-01,-8.814,0.895,Moskva,Russia
1901-03-01,-4.201,0.477,Moskva,Russia
1901-04-01,5.078,0.878,Moskva,Russia
1901-05-01,11.272,0.536,Moskva,Russia
1901-06-01,20.117,0.68,Moskva,Russia
1901-07-01,18.034,0.442,Moskva,Russia
1901-08-01,18.586,0.536,Moskva,Russia
1901-09-01,9.794,0.635,Moskva,Russia
1901-10-01,4.786,0.423,Moskva,Russia
1901-11-01,-3.547,0.866,Moskva,Russia
1901-12-01,-9.093,0.503,Moskva,Russia
1902-01-01,-8.049,0.997,Moskva,Russia
1902-02-01,-8.066,0.714,Moskva,Russia
1902-03-01,-3.979,0.622,Moskva,Russia
1902-04-01,0.759,0.526,Moskva,Russia
1902-05-01,11.079,0.63,Moskva,Russia
1902-06-01,16.058,0.62,Moskva,Russia
1902-07-01,16.948,0.577,Moskva,Russia
1902-08-01,15.013,0.637,Moskva,Russia
1902-09-01,8.621,0.583,Moskva,Russia
1902-10-01,1.555,0.597,Moskva,Russia
1902-11-01,-6.221,0.654,Moskva,Russia
1902-12-01,-12.224,0.888,Moskva,Russia
1903-01-01,-8.186,0.725,Moskva,Russia
1903-02-01,-4.597,0.681,Moskva,Russia
1903-03-01,-2.064,0.782,Moskva,Russia
1903-04-01,8.126,0.487,Moskva,Russia
